Scenario rank order (by severity),Severity,Crime,Crime type,Crime description,Description (base scenario),Physical evidence inculpatory,Physical evidence exculpatory,Physical evidence ambiguous,Digital/doc inculpatory,Digital/doc exculpatory,Digital/doc ambiguous,Eyewitness inculpatory,Eyewitness exculpatory,Eyewitness ambiguous,Character bad,Character good,Type of character evidence,Drafted by,Notes on crime type & severity,Notes on source & text 
11,H,Indecent exposure,Sex crimes,Masturbating in someone else’s backyard.,Morris Peyton is charged with indecent exposure. Florine Dennis called police when her backyard motion-detecting security light came on and illuminated a man with his pants down staring into her window and masturbating. ,DNA in semen found in the yard matches Mr. Peyton. ,DNA in semen found in the yard does not match Mr. Peyton.,DNA in semen found in the yard was degraded by rain and showed a 50/50 chance it was Mr. Peyton’s.,A neighbor’s security video shows Mr. Peyton running to a car down the street and driving away in it four minutes before police arrived. ,Cell-phone records show Mr. Peyton was on his phone 10 miles away at the time Ms. Dennis called the police. ,Mr. Peyton posted on Facebook every few minutes throughout the evening. He could have been on either his computer at home or his smartphone from any location.,A woman coming home from work testified to seeing a man she later identified as Mr. Peyton running towards a car down the street and driving away in it “a few minutes” before police arrived. ,Ms. Dennis identified a man in the lineup who was not Mr. Peyton and did not look like him.,Ms. Dennis testified that the man looking into her window and masturbating could have been either Mr. Peyton or another man in the lineup. ,Mr. Peyton has a previous conviction for auto theft. ,A minister testified that Mr. Peyton has a good reputation in the church community for being truthful. ,Truthfulness,David,,
12,G,Arson 2nd degree,Property crime,Burning down a garage.,"Juan Rodriguez, age 17, is charged with using gasoline to set fire to a neighbor’s detached and empty garage at 11 P.M.",A expert testified that fingerprints on a gas can in the woods behind the burned garage match Mr. Rodriguez.,An expert said that fingerprints on the gas can found on the scene are not Mr. Rodriguez’s.,An expert testified that a partial fingerprint on a gas can found at the scene partly matches Mr. Rodriguez but there’s not enough of the print be to sure. ,A receipt was found in Mr. Rodiguez’s car for a gas can purchased the day before the fire. ,Cellphone tower records show that Mr. Rodriguez was using his phone four miles away from the fire for the entire time between 10:35 P.M. and 1:15 A.M. the night of the fire.,A receipt dated two days before the fire in Mr. Rodriguez’s car shows he bought a gas can and a gas-powered leaf blower.,An eyewitness saw someone he later identified as Mr. Rodriguez running away from the site of the fire with a gas can.,A diner waitress said Mr. Rodriguez was eating at her table between 10:30 P.M. and midnight. ,"A neighbor said that just before the fire he saw someone cutting through neighborhood yards with a gas can, but it was dark so he does not know if it was Mr. Rodriguez. ",Mr. Rodriguez's childhood friend testifies that he has always been fascinated by fire. ,Mr. Rodriguez’s employer testified that Mr. Rodriguez has an excellent reputation for being respectful of other people’s property.,Propensity,Don,,
13,G,Sex with Student ,Sex crimes,Having sex with one of their students.,High School teacher Robert Sanders is charged with having sex with a 10th grade female student. Prosecutors say he cultivated a relationship with her and eventually persuaded her to meet him for sex at a motel.,DNA recovered from the student’s panties matches Mr. Sanders.,DNA recovered from the student’s panties is from a man other than Mr. Sanders. ,DNA recovered from the student’s panties could be from Mr. Sanders but is too degraded for a reliable match. ,Mr. Sanders’ cell phone contains texts with the student arranging a sexual encounter.,The only messages to the student from Mr. Sanders’ cell phone are about school work.,Mr. Sanders’ cell phone contains three unanswered flirting messages from the student with no response from Mr. Sanders.,A motel repairman said that Mr. Sanders is the man he saw leaving the motel with the student.,A motel repairman said Mr. Sanders is not the man he saw leaving the motel with the student.,A motel repairman said Mr. Sanders “could have been or maybe not have been” the man he saw leaving the motel with the student.,Mr. Sanders was convicted previously for child pornography.,The president of the school’s PTA testified that Mr. Sanders has a good reputation for being protective of his students.,Propensity,???,"For this penalty, student must be 13 or more",
14,F,Bribery of Public Official,Fraud & bribery,Bribing a public official.,"Tyrone Jackson, one of the investors in a real estate project, is accused of bribing a zoning-board official by giving him an envelope containing $50,000 cash in return for a favorable zoning vote on the project.",DNA from under the sealed flap of the bribe envelope matches Mr. Jackson. ,DNA from under the sealed flap of the bribe envelope matches someone other than Mr. Jackson.,"DNA from the bribe envelope partly matches Mr. Jackson’s DNA, but the DNA sample is degraded and not reliable.","Records show cash withdrawals of $9,500 from Mr. Jackson’s bank account for five consecutive months – totaling $47,500 -- leading up to the zoning board vote.",Mr. Jackson’s bank account records for a year before the zoning vote show no unusual withdrawals.,"Bank records and a deed of sale show that Mr. Jackson sold his 34-foot sailboat for $43,000 three weeks before the zoning vote. ",A zoning board clerk saw someone she later identified as Mr. Jackson give an envelope of the same type as the bribe envelope to the zoning official just before the vote.,A zoning board clerk said that Mr. Jackson is not the man she saw giving an envelope of the same type as the bribe envelope to the zoning official just before the vote. ,"A zoning board clerk said the man who handed an envelope of the same type as the bribe envelope to the zoning official just before the vote “was maybe” Mr. Jackson, but “I never got enough of a look to be at all sure.” ",Mr. Jackson was previously convicted of failing to pay his taxes.,The head of the local Better Business Bureau testified that Mr. Jackson has a good character as an honest businessman. ,Propensity,????,,
15,F,Involuntary Manslaughter,Homicide,Hitting and killing a child with their car.,"Sergei Ivankov is charged with the death of an eight-year-old child. The prosecution alleges he looked away from the road while texting, hit the child walking alongside the roadway, and left the scene. ",An expert witness testified that paint from Mr. Ivankov’s car matches paint flecks on the child’s clothing. ,An expert witness testified that paint flecks on the child’s clothing do not match Ivankov’s car. ,"An expert witness testified that paint from Mr. Ivankov’s car matches paint flecks on the child’s clothing, but could not find any missing paint on the car.",Cellphone tower records show Mr. Ivankov texting at the time and around the place the child was hit. ,Cellphone tower records show Mr. Ivankov’s phone was not being used to make a call or send a text around the time the child was hit.,Cellphone tower records show Mr. Ivankov was texting at the time of the crash but don’t show where he was. ,"An eyewitness saw a driver she later identified as Mr. Ivankov at a nearby stoplight just before the child was hit, and heading in that direction.","An eyewitness saw a woman driving a car similar to Mr. Ivankov’s at a nearby stoplight just before the child was hit, and headed in that direction. ","An eyewitness saw a driver  who might or might not have been Mr. Ivankov at a nearby stoplight just before the child was hit, and heading in that direction.",Mr. Ivankov's ex-business partner testifies that he would not believe him even if he had taken an oath to tell the truth.,Mr. Ivankov's ex-business partner testifies that he would believe anything Mr. Ivankov says about an important matter.,Truthfulness,Don,,
16,H,Elder Abuse,Assault,Pushing a man down a flight of stairs.,Beverly Cornish who was a home health care worker for 81-year-old Elias Portman is charged with abuse of an elderly adult by pushing him down a flight of stairs causing him to suffer a broken left hip.,Fingerprints found on the back of the leather vest Mr. Portman was wearing match those of Ms. Cornish.,"Fingerprints found on the back of the leather vest Mr. Portman was wearing, do not match those of Mrs. Cornish. ",A fingerprint expert testified that partial fingerprints on the back of the vest neither rule out nor conclusively match Ms. Cornish.,"Ms. Cornish left a message on her daughter's answering machine that ""This old guy is driving me nuts and I am afraid if I don't get transferred to another client, I will lose it with him.""","Ms. Cornish’s computer has an email she sent weeks before to her daughter saying, “One of the things I love about Mr. Portman is that he is so easy to get along with. He really appreciates my help.” ",Mr. Portman's daughter installed cameras in his house. The video shows him falling down the stairs but the camera's angle does not catch what happened at the top of the stairs. ,"Mr. Portman's cleaning lady says that when she heard the noise from Mr. Portman falling, she ran to the stairs and saw Ms. Cornish at the top looking angry and holding Mr. Portman's cane. ","Mr. Portman's cleaning lady says that when she heard the noise from Mr. Portman falling, she ran to the stairs and saw Ms. Cornish coming from the kitchen on the same floor as the bottom of the stairs. ","Mr. Portman's cleaning lady says that when she heard the noise from Mr. Portman falling, she ran to the stairs and she saw Mrs. Cornish at the bottom trying to help Mr. Portman. ",Ms. Cornish has an earlier conviction for theft.,Someone who lives in Ms. Cornish's neighborhood testified that Ms. Cornish has the reputation of being a very truthful person. ,Truthfulness,David,,
17,F,Indecent Liberties,Sex crimes,Sending one of their students a nude photo of themselves.,"A teacher, Janet Williams, is accused of taking indecent liberties with a student. Prosecutors allege she took a nude photo of herself in the bedroom of one of her male students and texted it to him. The student later texted the photo to several of his classmates.",Strands of hair with DNA matching Ms. Williams were found in the student’s bedroom. ,No DNA found in the student’s bedroom matched Ms. Williams. ,A fingerprint analyst testified that a print from the student’s bedroom is similar to Ms. Williams’ but not enough for a firm identification.,Ms. Williams’ cellphone was used to take the nude photo and text it to the student.,A digital evidence expert testified that Ms. Williams’ face in the texted photo was photoshopped onto someone else’s body. ,Mr. Williams still had his wife’s old phone from before they were divorced. Her old phone contains nude photos of her in an unidentified bedroom.,A dogwalker said that she saw Ms. Williams’ car leaving the student’s driveway on an evening when no other cars were there. ,"A coffeeshop barrista testified that the day before the nude photo was sent to the student, Ms. Williams’ ex-husband was at a coffeeshop table looking at laptop photos of Ms. Williams fully clothed, and downloading nude photos of other women.",A school custodian said he saw someone who looked like Ms. Williams from behind with the student in the school parking lot the day the photos were sent.,Ms. Williams has a conviction for indecent exposure at a public park. ,Fellow teachers at Ms. Williams’ school testified that Ms. Williams' reputation is excellent for respecting the rights and safety of her students. ,Propensity,Artemis,Bottom box in documents or media wasn't initially clear to me. Divorce was confusing as was nude pix of herself,
18,F,Human Trafficking,"Assault,kidnapping ",Human trafficking.,"Darrell Johnson is charged with human trafficking. Prosecutors allege: 1) that Mr. Johnson recruited workers from Mexico by promising free transportation and work visas, and 2) that Mr. Johnson paid drivers to pick up the victims at the border and drive them to a highway rest area for delivery to other traffickers. The other traffickers forced the victims to work 16 hours a day for little or no pay by threatening violence to the victims and their families back in Mexico. ",DNA matching Mr. Johnson’s was found on a soda can dropped in a rest stop from a van carrying immigrants that drove off as a state trooper pulled up next to it. ,"DNA and fingerprints in the van that carried the victims to the traffickers match the victims, but none, including those on the steering wheel, match Mr. Johnston. ",Partly degraded DNA from a soda can dropped when state troopers approached a van carrying immigrants might possibly match Mr. Johnson’s DNA.,"Mr. Johnson’s cell phone contains a text to a phone number in Mexico, reading: “Need new fish. $$$ for quick turnaround. Usual drop.”","Neither Mr. Johnson’s cell phone nor computer shows voice calls, texts, or emails to Mexico.",Mr. Johnson’s cell phone shows frequent texts and voice calls to Mexico over the last 5 years.,A woman testified that Mr. Johnson is the man she saw handing an envelope to the driver of a full 16-passenger van at a highway rest area.,A woman testified Mr. Johnson is not the man she saw handing an envelope to the driver of a full 16-passenger van at a highway rest area.,A woman testified that she’s not sure whether Mr. Johnson is the man she saw handing an envelope to the driver of a full 16-passenger van at a highway rest area.,Mr. Johnson was previously convicted of forgery for selling false identification documents. ,A local social-services agencyworker testified that Mr. Johnson has a reputation for truthfulness. ,Truthfulness,Pate,"Scenario is an amalgam of real trafficking operations:Understanding the Organization, Operation, and Victimization Process of labor trafficking in the United States, Colleen Owens et al., 2014 https://www.urban.org/research/publication/understanding-organization-operation-and-victimization-process-labor-trafficking-united-states See chart p 102 of Urban Institute study pdf",
19,E,Discharge weapon into occupied property,"Assault, kidnapping",Firing a gun into a party and injuring two people.,"Michael Anderson is charged with shooting out of his window late at night into a crowded loud party next door, injuring two people when a bullet shattered a beer bottle and sprayed glass. ",Markings on bullets recovered from the neighbor’s yard match bullets test-fired from Mr. Anderson’s gun.,Markings on bullets in the neighbor’s yard do not match bullets test-fired from Mr. Anderson’s only gun.,"Markings on bullets later found in in the neighbor’s yard are the same caliber as a gun owned by Mr. Anderson, but the bullets were too damaged for a definite match.","911 recorded a caller from Mr. Anderson’s phone telling the operator, “If you don’t do something about the party, I will.”","911 recorded a caller from a different neighbor’s phone telling the operator, “If you don’t do something about the party, I will.”","911 recorded a call from a phone with no caller ID, telling the operator, “If you don’t do something about his party, I will.”",A woman at the party says she saw someone she later identified as Mr. Anderson shooting from a window in his house.,A woman at the party says she saw someone with a gun at an open window in a house across the street from Mr. Anderson’s house.,An eyewitness says she could not tell whether the shots came from Mr. Anderson’s house or the house across the street. ,A neighbor testified that Mr. Anderson has a reputation for being violent.,A neighbor testified that Mr. Anderson has a reputation for non-violence.,Propensity,???,,
20,C,Embezzlement,Burglary & theft,Stealing from their workplace by taking items without charging for them.,"Astrid Clarke, a large department store's employee, is charged with embezzlement of money from her employer by ""freebagging,"" bagging items without charging for them and getting paid. A batch of items determined to have been freebagged from the store where Ms. Clarke worked were found for sale in another store.",An fingerprint expert testified that Ms. Clarke’s fingerprints were among those found on the the recovered items,"An expert testified that of the many fingerprints on the recovered items, none were Ms. Clarke’s.","A fingerprint expert testified that of the many fingerprints on the recovered items, only one partial print could be Ms. Clarke's but it was too smudged to provide a certain match.",A store security camera video shows Ms. Clarke repeatedly bagging items for the same two customers so quickly that ringing them up would have been difficult.,A store security camera video shows no obvious evidence of Ms. Clarke bagging any items without first hitting keys on the register. ,A store security camera shows an employee who cannot be identified from the video freebagging items on a register on the floor where Ms. Clarke worked.,A store customer remembers Ms. Clarke putting items in a bag for the customer before her and thinks that not all the items were rung up.,A store customer remembers a store employee other than Ms. Clarke putting items in a bag for a customer without ringing them up.,A store customer remembers a store employee putting items in a bag for a customer without ringing them up but cannot be sure whether the employee was Ms. Clarke.,Ms. Clarke’s neighbor says she has a poor reputation for honesty in the neighborhood.,Ms. Clarke’s priest says she has an excellent reputation for honesty among the church community.,Propensity,Don,Rewritten to better fit the statute,
21,D,Burglary,Burglary & theft,Breaking into and stealing from someone’s home.,"John Otis Graham is charged with burglary. Prosecutors allege he broke open and climbed through a second-floor window of the Abrams home, took a wallet and laptop computer, and escaped through the window when Mrs. Abrams came upstairs and saw him holding the laptop and wallet. ",A DNA expert testified that blood on the broken window glass matches Mr. Graham.,A DNA expert testified that blood on the broken window glass is not Mr. Graham’s. ,"An expert testified that mitochondrial DNA on the broken window could be Mr. Graham’s, but that mitochondrial DNA cannot identify a specific individual. ",Mr. Graham posted a Facebook photo showing him near the Abrams home with police cars in the background.,Mr. Graham posted a Facebook photo showing him at the time of the burglary loading supplies into a truck at a charity event across town. ,"Mr. Graham posted a photo on Facebook showing him near the Abrams home with police cars in the background, and captioned “Close call for somebody tonight.”",Mrs. Abrams picked Mr. Graham out of a lineup as the burglar. ,Mrs. Graham identified someone else in a lineup as the burglar. ,"At a lineup, Mrs. Adams said Mr. Graham looked familiar, but could not say whether he was the burglar. ",Mr. Graham was previously convicted of using a fake prescription to get opioid pain medications.,A co-worker testified that Mr. Graham has a reputation for being law-abiding. ,Propensity,Pate,,
